user_id,total_inflow,total_income,total_transfer_in,total_outflow,outflow_inflow_ratio,income_spent_pct
b'\x01\xa2\\@\x8d\xf7M\xe9\x99\x1b\xe7\xa2\xd3G^\x92',18702.32,12121.22,6581.1,18240.170000000002,0.9752891619863205,1.5048130468715197
b'\x01\xae73`6O\xfb\x92h\xf8e\xd2u\xf4\x9f',3470.6,50.0,3420.6,3560.21,1.0258197429839222,10.0
b'\x01\xc8\xfe\x1a@eFc\xb2\xc2\xb6\x1c\xf3\xc3\x0en',26895.4,2733.34,24162.06,27060.11,1.0061240955702462,9.900016097521712
"b'\x01\xda,\xab\xca\xf2C&\x80""\xf7\x8e}\xd7L\x11'",21599.97,8101.0,13498.97,24066.649999999998,1.1141983067569075,2.9708245895568446
b'\x01\xe4\xe7\xdb|wM\xb4\xa8\xf4\xff\x98>\xed&%',63571.24,48178.02,15393.22,68249.15000000001,1.0735853193991498,1.4166034635711475
b'\x01\xe6\xd89\xf4SD\xf7\x9d*\xe4\xe3\xf4\xfd\xff\xcb',6291.18,2397.83,3893.35,6321.87,1.0048782581328144,2.636496332100274
b'\x02\x00\xe0\x9d\x9dfN\xa8\xa4\x101\x93\xbf\xc3\x03^',8439.8,5532.38,2907.42,10774.87,1.2766736178582432,1.9476012132210732
b'\x02\x14\xc7\xd4ObNZ\x91\x1f1\x83d\x8f\xd6R',44442.07,3226.54,41215.53,43682.28,0.9829038116361366,10.0
b'\x02(\x16R\xf8\x9bA\x0e\x916\x82\x1c\x8bW\xf0\xab',1421.77,0.0,1421.77,1441.49,1.013870035237767,10.0
b'\x02B<6\x9e\x81N\x1a\x8e;I\x05\x14O2\xd2',13287.11,13287.1,0.01,13614.580000000002,1.0246456904473584,1.0246464616056177
b'\x02T\xc5\xb0N\xc2F\x9f\x9d~\xc7\xe8@\xf8\x9a\x8a',2521.19,1650.19,871.0,2979.5299999999993,1.181795104692625,1.805567843702846
"b'\x02X\xe0\xd6\xb0\x99D\xd8\x8b\x02r\xb9\x08y""\xfd'",151.35,0.0,151.35,91.35,0.6035678889990089,10.0
b'\x02^B\xa7\x14DOi\x92\xa0\xe3^\xbf\xff\xd10',1301.6399999999999,0.0,1301.6399999999999,579.34,0.4450846624258628,10.0
b'\x02\x80\xc6\xec\x1f9JU\xa56\xf6\xf0\xfc\xf1\xf3\xb2',3431.58,3011.0,420.58000000000004,3450.96,1.0056475442798944,1.146117568913982
b'\x02\x8b\r\xfcv\xf5M&\xb3F\x15]s\xd5 \xa5',18689.97,1128.41,17561.56,21257.819999999996,1.1373918738232323,10.0
"b""\x02\x8e\nf\x94\xfdGk\x96>|.\xd1\xd1'\x1b""",22309.69,13886.67,8423.02,24257.440000000002,1.0873051127111135,1.74681475112464
b'\x02\x92\xea\xa8B\xf3@\xa6\xb2\x1f!\x17.g\xdf\x8e',42503.270000000004,16032.82,26470.45,46015.8,1.0826414061788658,2.870100206950493
b'\x02\xa7=7F\xacEo\xac#hc\xb4\xac\xe0\xcc',73115.43,37219.25,35896.18,73375.08,1.0035512339871353,1.9714282259852094
b'\x02\xc5\xd6/G\xaaO\xb4\x95\xd2\x0ej\xb2\xda\x85\xa3',23736.33,5794.72,17941.61,25147.97,1.0594717043451958,4.339807617969462
"b'\x02\xc7\xf00\x81\xe6L,\x9f\xa1\x04\xa0|\x00G\xd6'",5628.68,3479.7,2148.98,4916.25,0.8734285836110776,1.412837313561514
b'\x02\xce\x01uB\x00M\xf7\x83\xb7\x85\xf7l\xaf\x87\x18',14815.82,7636.43,7179.389999999999,14558.17,0.9826098049247359,1.906410456194845
b'\x02\xd5\x0c~\xcfEH8\x81\xa4\x10\x87(\x8b1\xbf',13601.08,6987.42,6613.66,16438.11,1.2085885826713763,2.352529259726766
b'\x02\xd9\x9bM4:M\xab\x96\xb0\xdf\xd6\xfbtFH',8825.01,6677.99,2147.02,9233.62,1.04630136396446,1.3826944934029552
b'\x02\xe1\x12\xad\xd24K\xbe\xab\xb9Z\xfd\xd6i<\xad',20203.26,10291.14,9912.12,20413.34,1.010398321854988,1.9835839372508781
b'\x02\xec6\xa0\x90QAg\x9c\xdcC\xa6uAM4',362.91,266.6,96.31,395.94,1.09101430106638,1.4851462865716427
"b'\x03\x18\x89M$\\C\x0c\x89\x18\x85\xc1\xe2\x8d""s'",5534.27,2654.38,2879.89,5816.5,1.050996789097749,2.191283840294155
b'\x03)\x80\xd1\xee\xaeHs\x8cn\x06\x06\xf6\xb5sy',3796.59,2634.0299999999997,1162.56,3760.8,0.9905731195625548,1.4277741711370031
b'\x03O9\xe24XNi\xb3\xa7\x1b{\x96\x119\xcf',11018.85,8090.32,2928.5299999999997,11142.48,1.0112198641419021,1.3772607263989558
b'\x03P\xbe\xe7\xe2\xd9O\x1f\x86\x0e\x10\xda5X\x19q',23460.62,6178.62,17282.0,23101.92,0.9847105489965738,3.7390096817735996
b'\x03{\xa7p\xaf\x13L\x80\x9a\xf5\xc2\x8fuw\xa6O',1550.44,0.01,1550.43,23798.75,15.349674930987332,10.0
b'\x03|\n\x9e\xb7\x82KK\x83\xddV/\xd8#^J',25281.48,9430.11,15851.37,24674.69,0.9759986361557946,2.6165855965625
b'\x03\xbcGT\x1e\xb1H9\xa1\xf8\x96/`\n\x9f\x15',27255.11,22682.73,4572.38,30079.89,1.103642216083516,1.3261141846682476
b'\x03\xc1\xf5\x81h\xfb@\x97\xb1M&\x9cj\x08\x11?',18465.55,11959.03,6506.52,18888.489999999998,1.022904273092326,1.5794332817962657
"b'\x03\xd3\xbe\xeeC\x83D,\x9cdm\x10\xca(j\xa9'",112.06,7.0,105.06,109.77000000000001,0.9795645190076745,10.0
b'\x03\xd9\xb3\xaa\xfc\x19H\x02\xa6\x07\xc1t\xf6\xac\xbc\xa4',10370.6,3958.59,6412.01,10252.6,0.9886216805199314,2.589962587689051
b'\x03\xe0\x11\xfd\t\xc4ND\x89\xb7$\xbc\x13\xf4\xa34',205.0,0.0,205.0,205.0,1.0,10.0
b'\x03\xe5W>_!N\x99\xb6?\x9c\x1f\xe2\x81\xa8\xb2',53562.4,21354.39,32208.010000000002,64576.3,1.2056274550804296,3.0240292511282227
b'\x03\xe6\x9f\xa4\xc1\x8fM\x18\x9e-ue\xb3\xe0\xec\x13',1786.66,560.24,1226.42,1998.66,1.1186571591685044,3.5675067828073685
